,000001,000002,000063,000069,000100,000157,000166,000301,000333,000338,000408,000425,000538,000568,000596,000617,000625,000651,000661,000708,000725,000733,000768,000776,000786,000792,000800,000858,000876,000877,000895,000938,000963,000977,000983,000999,001289,001979,002001,002007,002027,002049,002050,002074,002129,002142,002179,002180,002202,002230,002236,002241,002252,002271,002304,002311,002352,002371,002410,002415,002459,002460,002466,002475,002493,002555,002594,002601,002603,002648,002709,002714,002736,002812,002821,002841,002916,002920,002938,003816,300014,300015,300033,300059,300122,300124,300142,300223,300274,300308,300316,300347,300408,300413,300433,300450,300454,300496,300498,300628,300661,300750,300751,300759,300760,300763,300782,300896,300919,300957,300979,300999,301269,600000,600009,600010,600011,600015,600016,600018,600019,600023,600025,600028,600029,600030,600031,600036,600039,600048,600050,600061,600085,600089,600104,600111,600115,600132,600150,600176,600183,600188,600196,600219,600233,600276,600309,600332,600346,600362,600372,600406,600426,600436,600438,600460,600489,600515,600519,600547,600570,600584,600585,600588,600600,600606,600660,600674,600690,600732,600741,600745,600754,600760,600795,600803,600809,600837,600845,600875,600886,600887,600893,600900,600905,600918,600919,600926,600938,600941,600958,600989,600999,601006,601009,601012,601021,601059,601066,601088,601100,601111,601117,601138,601155,601166,601169,601186,601211,601225,601229,601236,601238,601288,601318,601319,601328,601336,601360,601377,601390,601398,601600,601601,601607,601615,601618,601628,601633,601658,601668,601669,601688,601689,601698,601699,601728,601766,601788,601799,601800,601808,601816,601818,601838,601857,601865,601868,601872,601877,601878,601881,601888,601898,601899,601901,601916,601919,601939,601985,601988,601989,601995,601998,603019,603195,603259,603260,603288,603290,603369,603392,603486,603501,603659,603799,603806,603833,603899,603986,603993,605117,605499,688008,688012,688036,688041,688065,688111,688126,688187,688223,688256,688271,688303,688363,688396,688561,688599,688981
000001,0,4,2,0,0,1,4,0,1,2,1,0,0,2,1,0,1,2,0,0,0,0,0,7,0,0,0,4,0,0,1,1,0,1,0,2,1,1,0,0,0,0,0,1,0,58,0,1,0,3,0,4,0,4,0,0,1,0,0,4,1,4,2,0,3,0,6,0,0,0,0,3,8,0,0,0,3,2,0,0,0,0,7,4,0,1,0,0,1,4,1,0,0,0,1,1,0,0,0,0,0,12,0,0,2,0,0,2,0,0,3,0,0,94,0,2,0,83,124,0,0,0,0,2,0,12,0,151,1,0,9,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,2,2,2,1,2,0,6,1,1,0,0,0,0,0,5,0,0,0,0,0,0,1,0,2,1,1,0,0,3,3,0,4,0,4,53,44,0,4,1,2,2,2,48,1,0,3,10,5,0,1,0,2,0,105,30,0,6,2,43,0,0,111,57,5,96,15,2,1,0,108,2,5,0,0,0,24,0,102,2,1,6,0,0,0,5,1,0,0,0,0,6,73,28,1,0,0,0,1,12,2,0,0,5,6,73,0,105,0,117,0,10,120,1,0,3,0,0,0,0,0,0,2,3,3,0,0,0,1,2,0,4,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
000002,4,0,7,0,3,3,4,0,4,1,1,2,0,3,2,1,7,3,3,0,1,0,1,7,0,1,3,5,5,0,0,0,1,5,0,0,0,26,0,1,0,0,3,0,5,1,0,0,0,0,0,9,2,3,1,0,3,5,0,0,3,8,9,6,4,2,17,6,0,0,2,10,4,2,0,0,0,3,1,0,1,2,9,10,1,0,0,0,2,11,0,0,0,0,2,0,0,0,6,0,3,8,0,0,2,0,0,1,0,0,0,2,0,23,1,3,0,3,1,0,2,0,0,3,5,7,4,9,1,39,2,0,0,0,6,5,3,0,2,0,1,1,1,1,1,7,2,4,0,2,0,2,1,5,7,3,4,8,10,2,3,1,3,1,0,0,0,0,0,0,0,6,0,1,1,1,3,1,0,2,0,2,2,8,0,4,5,4,4,2,1,1,1,3,2,13,3,2,5,4,0,5,2,10,0,2,1,1,6,0,0,1,1,10,12,5,4,20,1,1,4,18,1,6,1,0,1,11,5,3,2,5,2,2,0,1,0,6,2,0,0,0,0,3,2,5,0,0,3,0,1,5,5,3,4,1,0,4,10,0,9,3,5,1,11,0,3,2,1,0,2,1,0,0,0,0,0,0,0,3,2,0,2,1,0,1,10,0,0,0,0,0,11,0,1,0,2,0,5,9
000063,2,7,0,0,17,5,5,0,39,3,3,1,0,13,2,2,12,22,4,1,12,0,0,9,0,0,2,13,2,0,4,59,1,40,1,1,8,2,2,1,5,4,21,3,2,5,7,6,0,21,7,28,0,6,1,5,4,12,0,26,3,13,6,62,1,2,98,0,0,0,2,14,22,1,0,0,13,6,11,4,14,0,33,36,2,17,0,0,43,138,0,7,3,3,21,8,0,0,3,11,9,79,0,6,14,0,0,2,0,0,4,1,2,3,1,5,3,5,1,1,1,2,1,5,3,22,1,16,0,0,52,0,2,5,15,16,0,0,2,1,13,3,10,3,1,10,4,9,0,16,1,7,1,0,7,4,5,4,27,4,3,10,0,7,3,0,6,0,10,0,0,21,0,2,0,0,4,4,5,3,0,8,0,7,2,10,7,7,8,111,2,3,9,2,3,9,0,3,13,10,3,3,1,68,0,3,1,0,27,0,0,1,20,17,22,3,3,14,6,0,3,7,2,5,1,0,1,10,12,3,12,1,9,11,19,1,86,8,7,3,0,1,1,1,0,13,6,1,4,2,3,2,1,4,33,2,0,2,3,4,7,0,6,2,38,3,18,0,4,0,3,0,0,7,2,7,0,1,0,47,15,4,9,14,11,23,76,0,15,3,0,1,107,1,1,0,4,0,6,130
000069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000100,0,3,17,0,0,0,6,0,24,0,1,1,0,2,1,1,0,22,3,0,28,0,0,4,1,2,1,3,4,0,0,3,1,2,0,5,0,1,2,0,5,3,4,1,34,3,1,2,0,4,5,7,0,3,0,1,8,10,0,8,7,2,0,35,2,2,19,1,0,1,4,7,2,0,0,0,3,6,5,0,6,0,2,3,0,10,0,0,14,7,2,0,4,0,10,0,0,0,6,1,2,13,0,2,8,0,2,0,0,0,0,0,1,2,0,0,0,0,2,0,1,0,0,7,1,1,1,6,2,4,3,0,1,10,3,0,1,0,2,1,6,0,3,0,0,2,8,1,0,1,0,2,0,0,10,1,0,1,6,0,0,5,0,1,1,0,2,3,8,0,0,6,0,3,2,0,0,0,2,0,0,4,0,2,2,1,2,3,4,7,2,3,0,0,2,11,0,3,4,2,0,1,0,11,0,4,0,0,4,1,2,0,3,6,7,0,5,5,1,2,1,5,2,1,0,0,1,4,1,1,5,1,3,2,0,0,3,1,3,0,0,0,1,3,4,8,0,1,0,10,1,1,1,1,7,2,2,3,3,0,4,1,10,1,1,3,4,1,3,0,0,0,0,7,0,3,0,0,0,8,2,7,3,6,5,5,7,0,0,4,0,7,17,4,2,0,0,0,9,12
000157,1,3,5,0,0,0,1,0,6,5,0,63,0,0,0,0,2,2,0,1,1,0,1,5,1,0,2,0,6,0,0,0,0,2,1,0,2,0,1,0,0,0,7,1,0,0,2,4,0,4,0,2,0,1,0,0,1,8,0,1,0,2,4,3,2,0,17,0,0,0,0,2,1,0,0,0,3,0,1,0,2,1,0,3,0,15,0,0,1,2,9,1,1,1,8,9,0,0,2,0,0,11,0,1,2,0,1,1,0,0,0,2,0,2,0,0,1,2,2,0,1,0,0,2,2,9,94,2,0,0,2,0,0,2,5,4,2,0,7,0,1,3,2,1,1,2,3,2,1,0,0,0,0,2,0,2,2,0,3,0,0,0,7,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,6,0,0,2,0,0,1,0,0,1,5,1,0,1,3,1,2,2,0,5,1,42,2,2,2,0,1,2,4,1,1,0,1,6,3,1,1,1,3,0,0,3,2,1,3,1,0,2,6,5,4,0,3,3,4,1,2,0,5,1,1,1,1,1,2,3,5,1,2,3,0,5,7,2,1,4,0,1,6,4,0,2,4,6,3,0,0,2,0,1,0,2,0,0,2,0,0,0,0,0,3,4,4,0,6,9,3,1,0,2,2,2,1,1,0,0,0,3,0,3,2
000166,4,4,5,0,6,1,0,1,11,1,9,1,2,4,2,7,5,6,1,0,1,0,7,338,1,1,1,8,1,0,0,2,2,2,1,0,1,2,3,2,2,1,8,4,2,4,0,1,0,2,0,7,1,2,1,2,6,1,0,1,6,5,4,10,2,1,29,0,0,4,2,9,257,0,0,0,3,3,1,0,5,3,23,104,0,2,0,0,2,7,0,3,1,1,8,9,0,0,2,1,0,33,0,0,1,0,0,1,0,0,2,0,0,8,0,1,1,2,9,0,2,0,1,1,2,285,2,20,2,8,6,13,2,5,5,3,4,0,5,2,3,5,1,2,2,9,4,0,1,2,0,1,1,2,4,3,0,0,8,3,3,0,5,5,3,0,0,0,4,0,1,7,0,2,2,2,3,40,0,1,4,2,1,3,2,156,4,5,2,4,149,1,169,0,2,6,0,136,259,7,1,4,1,7,0,9,1,2,402,1,5,58,2,25,14,7,8,31,1,84,6,23,4,12,1,0,1,22,6,17,5,2,192,1,0,0,3,2,86,1,3,0,1,6,4,6,4,2,1,0,194,172,3,4,11,129,6,4,19,0,25,2,384,7,3,0,8,1,5,0,1,1,0,3,0,4,1,0,0,3,3,1,4,4,0,1,17,0,2,1,0,3,19,1,4,0,0,0,2,27
000301,0,0,0,0,0,0,1,0,7,0,0,2,0,0,0,0,0,6,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,1,3,0,0,0,0,1,0,5,4,0,0,0,2,0,0,8,3,1,1,1,34,0,7,1,0,7,2,8,0,1,0,0,0,0,0,0,3,0,2,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,6,0,0,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,13,1,0,2,0,1,0,0,0,0,0,0,1,1,0,0,5,0,0,1,0,0,1,8,0,28,3,0,1,6,0,3,0,0,0,2,1,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,1,0,1,1,0,0,3,0,1,1,0,9,0,0,10,0,0,3,4,0,3,2,1,0,0,1,0,0,1,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,6,0,1,2,1,0,0,0,1,0,0,4,0,3,0,12,1,2,1,1,0,0,0,1,5,0,0,1,1,0,1,0,0,1,1,0,1,2,0,0,1,0,0,3,1,3,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,3,0
000333,1,4,39,0,24,6,11,7,0,24,2,30,2,20,11,1,24,218,2,0,11,0,0,27,5,1,2,59,9,0,1,5,1,9,2,3,5,11,1,0,12,2,65,7,7,11,4,4,0,16,6,25,9,3,3,18,56,16,0,27,13,7,14,97,13,4,385,3,0,7,6,35,23,4,0,0,4,8,10,3,33,8,27,40,5,32,0,0,29,63,0,3,4,1,30,18,0,0,18,5,4,297,0,2,43,0,1,12,0,0,13,7,4,8,2,2,1,3,7,0,5,2,1,25,5,26,34,68,4,3,12,1,3,5,17,6,4,0,4,5,7,4,13,5,2,86,14,3,1,7,0,5,2,5,12,1,3,3,84,7,3,6,5,7,7,0,21,3,185,0,0,16,0,1,3,4,17,2,3,2,3,17,3,54,4,5,10,8,17,38,6,3,6,3,7,18,7,12,23,24,5,2,2,27,0,22,0,4,23,10,3,3,28,32,46,2,12,8,3,3,7,29,9,6,6,0,4,14,22,11,18,1,10,8,0,0,18,16,8,0,2,1,8,4,7,31,5,3,12,2,7,9,11,7,144,10,4,33,22,4,28,3,37,4,1,7,42,0,45,0,5,2,0,7,1,5,0,1,0,22,8,21,22,7,5,5,21,0,11,2,2,9,48,5,1,0,2,0,14,60
